Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,2.350000,2.380000,2.330000,2.360000,2.360000,5325261
2017-10-17,2.830000,2.970000,2.680000,2.730000,2.730000,59294648
2017-10-18,2.740000,2.770000,2.600000,2.720000,2.720000,24152174
2017-10-19,2.700000,2.780000,2.650000,2.780000,2.780000,9013949
2017-10-20,2.780000,2.850000,2.770000,2.840000,2.840000,8837338
2017-10-23,2.820000,2.850000,2.810000,2.830000,2.830000,5345071
2017-10-24,2.850000,2.940000,2.820000,2.880000,2.880000,11379654
2017-10-25,2.870000,2.880000,2.730000,2.740000,2.740000,11022555
2017-10-26,2.700000,2.830000,2.690000,2.790000,2.790000,4447537
2017-10-27,2.790000,2.820000,2.780000,2.780000,2.780000,5070938
2017-10-30,2.770000,2.800000,2.760000,2.760000,2.760000,3668709
2017-10-31,2.770000,2.790000,2.720000,2.730000,2.730000,3831234
2017-11-01,2.720000,2.790000,2.720000,2.780000,2.780000,6490624
2017-11-02,2.850000,2.970000,2.840000,2.950000,2.950000,21948829
2017-11-03,2.950000,3.140000,2.945000,3.130000,3.130000,17546977
2017-11-06,3.110000,3.240000,2.980000,3.120000,3.120000,13846197
2017-11-07,3.130000,3.170000,3.080000,3.100000,3.100000,8216372
2017-11-08,3.100000,3.110000,3.010000,3.040000,3.040000,5749884
2017-11-09,3.030000,3.070000,3.020000,3.030000,3.030000,3026265
2017-11-10,3.030000,3.100000,3.020000,3.080000,3.080000,3616518
2017-11-13,3.070000,3.090000,3.030000,3.060000,3.060000,4360165
2017-11-14,3.120000,3.140000,3.110000,3.110000,3.110000,5089534
2017-11-15,3.120000,3.120000,3.060000,3.070000,3.070000,3449848
2017-11-16,3.070000,3.110000,3.070000,3.080000,3.080000,2395417
2017-11-17,3.080000,3.100000,3.075000,3.100000,3.100000,1868043
2017-11-20,3.100000,3.100000,3.070000,3.070000,3.070000,2607925
2017-11-21,3.100000,3.150000,3.090000,3.090000,3.090000,5376734
2017-11-22,3.110000,3.110000,3.070000,3.080000,3.080000,3713044
2017-11-23,3.070000,3.090000,3.070000,3.080000,3.080000,1017336
2017-11-24,3.090000,3.100000,3.070000,3.090000,3.090000,1682599
2017-11-27,3.070000,3.080000,3.040000,3.070000,3.070000,3570531
2017-11-28,3.050000,3.090000,3.030000,3.070000,3.070000,4781668
2017-11-29,3.040000,3.060000,2.950000,2.950000,2.950000,3643080
2017-11-30,2.940000,3.040000,2.920000,3.000000,3.000000,8392937
2017-12-01,2.990000,3.090000,2.980000,3.090000,3.090000,4547521
2017-12-04,3.070000,3.150000,3.060000,3.140000,3.140000,6708410
2017-12-05,3.150000,3.190000,3.120000,3.170000,3.170000,6793738
